Year,Topic,Content,LexRank,TextRank
2016-2017,Protective Actions,"CDC recommends a yearlyflu vaccinefor everyone 6 months of age and older as the first and most important step in protecting against this serious disease. In addition to getting a seasonal flu vaccine, you can takeeveryday preventive actionslike staying away from sick people and washing your hands to reduce the spread of germs. If you are sick with flu, stay home from work or school to prevent spreading flu to others. In addition, there are prescription medications called antiviral drugs that can be used to treat influenza illness. VisitWhat you Should Know About Flu Antiviral Drugsfor more information. Encourage your loved ones to get vaccinated. Vaccination is especially important forpeople at high risk for developing flu-related complications, and their close contacts. Also, if you have a loved one who is at high risk of flu complications and they develop flu symptoms, encourage them to get a medical evaluation for possible treatment with flu antiviral drugs. CDC recommends that people who are at high risk for serious flu complications who get flu symptoms during flu season be treated with flu antiviral drugs as quickly as possible. People who are not at high risk for serious flu complications may also be treated with antiviral drugs, especially if treatment can begin within 48 hours. Some children 6 months through 8 years of age will require two doses of flu vaccine for adequate protection from flu. Children in this age group who are getting vaccinated for the first time will need two doses of flu vaccine, spaced at least 28 days apart. Some children who have received flu vaccine previously and children who have only received one dose in their lifetime also may need two doses. Your child’s doctor or other health care professional can tell you if your child needs two doses. VisitChildren, the Flu, and the Flu Vaccinefor more information. Children younger than 6 months are at higher risk of serious flu complications, but are too young to get a flu vaccine. Because of this, safeguarding them from flu is especially important. If you live with or care for an infant younger than 6 months of age, you should get a flu vaccine to help protect them from flu.Advice for Caregivers of Young Childrenhas more information. Also, studies have shown that getting the flu vaccine during pregnancy can protect the baby after birth for several months. In addition to getting vaccinated, you and your loved ones can takeeveryday preventive actionslike staying away from sick people and washing your hands to reduce the spread of germs. If you are sick with flu, stay home from work or school to prevent spreading flu to others.","Children in this age group who are getting vaccinated for the first time will need two doses of flu vaccine, spaced at least 28 days apart.","In addition to getting a seasonal flu vaccine, you can takeeveryday preventive actionslike staying away from sick people and washing your hands to reduce the spread of germs.
People who are not at high risk for serious flu complications may also be treated with antiviral drugs, especially if treatment can begin within 48 hours.
Some children 6 months through 8 years of age will require two doses of flu vaccine for adequate protection from flu.
Children younger than 6 months are at higher risk of serious flu complications, but are too young to get a flu vaccine."
2016-2017,Vaccine and Vaccination,"Flu vaccine is produced by private manufacturers, so supply depends on manufacturers. For the 2016-2017 season, manufacturers projected they would provide between 157 million and 168 million doses of injectable vaccine for the U.S. market. (Projections may change as the season progresses.) The quantity of vaccine that has been distributed is updated regularly during flu season and is available atSeasonal Influenza Vaccine & Total Doses Distributed. FluMist Quadrivalent is still an FDA-licensed product. As such, there may be some supply of FluMist Quadrivalent on the U.S. market during the 2016-2017 season. It is important for clinicians and the public to be aware that because of concerns about this vaccine’s effectiveness, CDC recommends that this vaccinenotbe used during the 2016-2017 influenza season. Flu vaccine is produced by private manufacturers, so the timing of vaccine availability depends on when production is completed. For the 2016-2017 influenza season, by late September, more than 90 million doses of 2016-2017 flu vaccine had already been distributed in the United States.","Flu vaccine is produced by private manufacturers, so the timing of vaccine availability depends on when production is completed.","For the 2016-2017 influenza season, by late September, more than 90 million doses of 2016-2017 flu vaccine had already been distributed in the United States."
2016-2017,If You Get Sick,"Antiviral drugs are prescription drugs that can be used to treat flu illness. People athigh riskof serious flucomplications(such as children younger than 5 years, adults 65 years of age and older, pregnant women, people with certain medical conditions, and residents of nursing homes and other long-term care facilities) and people who are very sick with flu (such as those hospitalized because of flu) should get treatment with antiviral drugs as early as possible after illness begins. Some other people may be treated with antivirals at their health care professional’s discretion. Treating high risk people or people who are very sick with flu with antiviral drugs is very important. Studies show that prompt treatment, especially within 2 days of illness onset, with antiviral drugs can prevent serious flu complications. Prompt treatment can mean the difference between having a milder illness versus very serious illness that could result in a hospital stay. Treatment with antivirals works best when begun within 48 hours of getting sick, but can still be beneficial when given later in the course of illness. Antiviral drugs are effective across all age and risk groups. Studies show that antiviral drugs are under-prescribed for people who are at high risk of complications who get flu. Three FDA-approved antiviral medications are recommended for use during the 2016-2017 flu season: oseltamivir (available as a generic version or under the trade name Tamiflu®), zanamivir (trade name Relenza®), and peramivir (trade name Rapivab®). More information about antiviral drugs can be found atTreatment – Antiviral Drugs. More information available: “The Flu: What To Do If You Get Sick” In August 2016, the U.S. Food and Drug Administration approved the first generic version of Tamiflu® (oseltamivir phosphate). Generic oseltamivir is available as a pill. Tamiflu® is available as a pill or liquid.",Treating high risk people or people who are very sick with flu with antiviral drugs is very important.,"Treating high risk people or people who are very sick with flu with antiviral drugs is very important.
Studies show that prompt treatment, especially within 2 days of illness onset, with antiviral drugs can prevent serious flu complications."
2016-2017,Surveillance,"The Epidemiology and Prevention Branch in the Influenza Division at CDC collects, compiles and analyzes information on flu activity year round in the United States and produces FluView, a weekly influenza surveillance report, and FluView Interactive, which allows for more in-depth exploration of flu surveillance data. The U.S. influenza surveillance system is a collaborative effort between CDC and its many partners in state, local, and territorial health departments, public health and clinical laboratories, vital statistics offices, health care providers, clinics, and emergency departments. Information in five categories is collected from eight different data sources that allow CDC to: For more information, visit “Overview of Influenza Surveillance in the United States”. Yes. A new FluView interactive application was introduced over the summer of 2016 that shows the distribution by age group of flu-positive tests by flu virus type and subtype or lineage. This application allows users to view laboratory data from multiple seasons and different age groups. Users also can view the chart data by week or cumulatively for the season. The new FluView application shows the distribution by age group of flu-positive specimens from the 1997-1998 flu season through the current week of reporting. Influenza B lineage information is available starting from the 2015-16 season. It’s important to note, however, that because testing practices and the number of participating public health laboratories can change from year to year; it is not always appropriate to determine the relative severity of flu seasons by comparing the number of positive specimens across seasons. CDC collaborates with other partners each season to assess how well the seasonal vaccines are working. During the 2016-2017 season, CDC is planning multiple studies on theeffectiveness of flu shots. These studies measure vaccine effectiveness in preventing laboratory-confirmed influenza among persons 6 months of age and older. A summary of CDC’s latest vaccine effectiveness estimates is available atSeasonal Influenza Vaccine Effectiveness, 2005-2016. CDC will continue to collect and monitor flu viruses for changes through an established network of domestic and global surveillance systems. CDC also is working with the state public health departments and the World Health Organization to collect additional information on antiviral resistance in the United States and worldwide. The information collected will assist in making informed recommendations regarding use of antiviral drugs to treat influenza.",The information collected will assist in making informed recommendations regarding use of antiviral drugs to treat influenza.,"The Epidemiology and Prevention Branch in the Influenza Division at CDC collects, compiles and analyzes information on flu activity year round in the United States and produces FluView, a weekly influenza surveillance report, and FluView Interactive, which allows for more in-depth exploration of flu surveillance data.
Information in five categories is collected from eight different data sources that allow CDC to: For more information, visit “Overview of Influenza Surveillance in the United States”.
The new FluView application shows the distribution by age group of flu-positive specimens from the 1997-1998 flu season through the current week of reporting."
2016-2017,Flu and Parotitis,"Acute parotitis is recent swelling of one of the salivary glands. It can be caused by a number of things, including viruses and bacteria. Acute viral parotitis is not a common symptom of flu virus infection and is much more commonly seen following infection with the mumps virus. We don’t know exactly how commonly parotitis occurs with flu. Prior to 2014, roughly a dozen cases were reported in the scientific literature. However, during the 2014–2015 flu season in the United States, several hundred cases were reported to CDC, representing the largest number of reported cases ever. Parotitis after flu appears to occur in people of all ages but mostly in school-aged children and more commonly in males. While still rare, flu-associated parotitis appears to occur more often after infection with influenza A (H3N2) viruses. If you think you have swollen salivary glands, you should see your health care provider as this may be due to a blockage or may be a symptom of an infection, like mumps or flu, which could spread to others. Your health care provider may test you for an infection and tell you to stay home, or self-isolate, until the swelling has gone done or your symptoms have resolved. Depending on the cause of the swelling, treatment may be recommended.",Parotitis after flu appears to occur in people of all ages but mostly in school-aged children and more commonly in males.,"Acute viral parotitis is not a common symptom of flu virus infection and is much more commonly seen following infection with the mumps virus.
While still rare, flu-associated parotitis appears to occur more often after infection with influenza A (H3N2) viruses."
2017-2018,What was the 2017-2018 flu season like?,"The 2017-2018 influenza season was a high severity season with high levels of outpatient clinic and emergency department visits for influenza-like illness (ILI), high influenza-related hospitalization rates, and elevated and geographically widespread influenza activity for an extended period. In 2017, CDC began usingnew methodologyto classify seasonal severity and applied the methodology to the 2003-2004 through 2016-2017 seasons. The 2017-18 season was the first season to be classified as a high severity across all age groups.",The 2017-18 season was the first season to be classified as a high severity across all age groups.,
2017-2018,When did the 2017-2018 flu season peak?,"During the 2017-2018 season, influenza-like-illness (ILI) activity began to increase in November, reaching an extended period of high activity during January and February nationally, and remained elevated through the end of March. ILI peaked at 7.5%, the highest percentage since the 2009 flu pandemic, which peaked at 7.7%. Influenza-like illness (ILI) was at or above the national baseline for 19 weeks, making the 2017-2018 season one of the longest in recent years. For more information, see theMMWR: 2017-18 Influenza Activity Updateor visitFluView Interactive.","Influenza-like illness (ILI) was at or above the national baseline for 19 weeks, making the 2017-2018 season one of the longest in recent years.",
2017-2018,How many people died from flu during the 2017-2018 season?,"While flu deaths in children are reported to CDC, flu deaths in adults are not nationally notifiable. In order to monitor influenza related deaths in all age groups, CDC tracks pneumonia and influenza (P&I)-attributed deaths through the National Center for Health Statistics (NCHS) Mortality Reporting System. This system tracks the proportion of death certificates processed that list pneumonia or influenza as the underlying or contributing cause of death. This system provides an overall indication of whether flu-associated deaths are elevated, but does not provide an exact number of how many people died from flu. During the 2017-2018 season, the percentage of deaths attributed to pneumonia and influenza (P&I) was at or above the epidemic threshold for 16 consecutive weeks. During the past five seasons, the average number of weeks this indicator was above threshold was 11 (range of 7 to 15 weeks). Nationally, mortality attributed to P&I exceeded 10.0% for four consecutive weeks, peaking at 10.8% during the week ending January 20, 2018. As it does for the numbers of flu cases, doctor’s visits and hospitalizations, CDC also estimates deaths in the United States using mathematical modeling. CDC estimates that from 2010-2011 to 2013-2014, influenza-associated deaths in the United States ranged from a low of 12,000 (during 2011-2012) to a high of 56,000 (during 2012-2013). Death certificate data and weekly influenza virus surveillance information was used to estimate how many flu-related deaths occurred among people whose underlying cause of death on their death certificate included respiratory or circulatory causes. For more information, seeEstimating Seasonal Influenza-Associated Deaths in the United Statesand CDC’sDisease Burden of Influenzapage. For more information, seeOverview of Influenza Surveillance in the United States, “Mortality Surveillance.”","For more information, seeOverview of Influenza Surveillance in the United States, “Mortality Surveillance.”","During the 2017-2018 season, the percentage of deaths attributed to pneumonia and influenza (P&I) was at or above the epidemic threshold for 16 consecutive weeks.
CDC estimates that from 2010-2011 to 2013-2014, influenza-associated deaths in the United States ranged from a low of 12,000 (during 2011-2012) to a high of 56,000 (during 2012-2013)."
2017-2018,How many children died from flu during the 2017-2018 season?,"As of April 19, 2019, a total of 186 pediatric deaths had been reported to CDC during the 2017-2018 season. This number exceeds the previously highest number of flu-associated deaths in children reported during a regular flu season (171 during the 2012-2013 season). Approximately 80% of these deaths occurred in children who had not received a flu vaccination this season. For the most recent data and more information visitFluView: Influenza-Associated Pediatric Mortality. Since flu-associated deaths in children became a nationally notifiable condition in 2004, the total number of flu-associated deaths among children during one season has ranged from 37 (during the 2011-2012 season) to 186 (during the 2017-18 season, as of April 19, 2019); this excludes the 2009 pandemic, when 358 pediatric deaths from April 15, 2009 through October 2, 2010 were reported to CDC.","Since flu-associated deaths in children became a nationally notifiable condition in 2004, the total number of flu-associated deaths among children during one season has ranged from 37 (during the 2011-2012 season) to 186 (during the 2017-18 season, as of April 19, 2019); this excludes the 2009 pandemic, when 358 pediatric deaths from April 15, 2009 through October 2, 2010 were reported to CDC.","Since flu-associated deaths in children became a nationally notifiable condition in 2004, the total number of flu-associated deaths among children during one season has ranged from 37 (during the 2011-2012 season) to 186 (during the 2017-18 season, as of April 19, 2019); this excludes the 2009 pandemic, when 358 pediatric deaths from April 15, 2009 through October 2, 2010 were reported to CDC."
2017-2018,How many people were hospitalized from flu during the 2017-2018 season?,"From October 1, 2017 through April 28, 2018, 30,453 laboratory-confirmed influenza-related hospitalizations were reported through theInfluenza Hospitalization Surveillance Network(FluSurv-NET), which covers approximately 9% of the U.S. population. People 65 years and older accounted for approximately 58% of reported influenza-associated hospitalizations. Overall hospitalization rates (all ages) during 2017-2018 were the highest ever recorded in this surveillance system, breaking the previously recorded high recorded during 2014-2015; a high severity H3N2-predominant season when CDC estimates that hospitalizations captured through FluSurv-NET translated into a total of 710,000 flu hospitalizations that seasons. (For more information on these estimates, seeCDC’s Disease Burden of Influenza page.)  Estimates on the total number of flu-related hospitalizations during 2017-2018 will be available in fall 2018.",Estimates on the total number of flu-related hospitalizations during 2017-2018 will be available in fall 2018.,
2017-2018,What flu viruses circulated during the 2017-2018 season?,"Influenza A(H3N2) viruses predominated overall during the 2017-2018 season. However, influenza B viruses became more commonly reported than influenza A viruses in early March 2018 through May 2018.","However, influenza B viruses became more commonly reported than influenza A viruses in early March 2018 through May 2018.",
2017-2018,How much flu vaccine was produced and distributed during the 2017-2018 season?,"Flu vaccine is produced by private manufacturers, sosupplydepends on manufacturers. For the 2017-2018 season, manufacturers originally projected they would provide between 151 million and 166 million doses of injectable vaccine for the U.S. market. As of February 23, 2018, manufacturers reported having shipped approximately 155.3 million doses of flu vaccine; a record number of flu vaccine doses distributed. More information about flu vaccine supply is available atSeasonal Influenza Vaccine Supply & Distribution.",More information about flu vaccine supply is available atSeasonal Influenza Vaccine Supply & Distribution.,
2017-2018,How effective was the 2017-2018 flu vaccine?,"The overall vaccine effectiveness (VE) of the 2017-2018 flu vaccine against both influenza A and B viruses is estimated to be 40%. This means the flu vaccine reduced a person’s overall risk of having to seek medical care at a doctor’s office for flu illness by 40%. Protection by virus type and subtype was: 25% against A(H3N2), 65% against A(H1N1) and 49% against influenza B viruses. These VE estimates were presented to theAdvisory Committee on Immunization Practices on June 20, 2018. While flu vaccine can vary in how well it works, flu vaccination is the best way to prevent flu and its potentially serious complications and prevents millions of flu illnesses and related doctors’ visits and tens of thousands of hospitalizations. For example, during the 2016–2017 influenza season, CDC estimates that flu vaccine prevented an estimated 5.3 million illnesses, 2.6 million medical visits, and 85,000 hospitalizations associated with influenza. Similar estimates for 2017-2018 will be released in fall 2018. Influenza vaccination also has been shown to reduce the risk of flu death in children. For more information about previous vaccine effectiveness, visitHow Well Does the Seasonal Flu Vaccine Work?.",Influenza vaccination also has been shown to reduce the risk of flu death in children.,The overall vaccine effectiveness (VE) of the 2017-2018 flu vaccine against both influenza A and B viruses is estimated to be 40%.
2017-2018,Was this season’s flu vaccine a good match for circulating viruses?,Yes. The majority of the influenza viruses collected from the United States during the 2017-2018 flu season were characterized antigenically and genetically as being similar to the cell-grown reference viruses representing the 2017–18 Northern Hemisphere influenza vaccine viruses.,The majority of the influenza viruses collected from the United States during the 2017-2018 flu season were characterized antigenically and genetically as being similar to the cell-grown reference viruses representing the 2017–18 Northern Hemisphere influenza vaccine viruses.,
2017-2018,How many antiviral resistant viruses were detected during the 2017-2018 season?,"Antiviral resistancemeans that a virus has changed in such a way that antiviral drugs are less effective or not effective at all in treating or preventing illnesses with that virus. Since October 1, 2017, CDC tested 1,147 influenza A(H1N1)pdm09, 2,354 influenza A(H3N2), and 1,118 influenza B viruses for resistance to antiviral medications (i.e., oseltamivir, zanamivir, or peramivir). While the majority of the tested viruses showed susceptibility to the antiviral drugs, 11 (1.0%) H1N1pdm09 viruses were resistant to both oseltamivir and peramivir, but were sensitive to zanamivir. These results indicate that these antiviral drugs continue to be recommended treatment options for illness caused by currently circulating influenza viruses.",These results indicate that these antiviral drugs continue to be recommended treatment options for illness caused by currently circulating influenza viruses.,
